video_id,title,label,predicted_label,confidence
g0NO46HUPGM,"শিক্ষা, চাকরির কোন সুযোগ  নেই  আসাম জনগোষ্ঠীর || #Rangamati Assam Adivasi",0,1,0.9602495
vv39RpTG1tM,সুপারস্টার সাকিবখানের সেরা ৬ Top 6 Movies of Shakib Khan,1,0,0.99880373
kKpW2wmoYJA,দেশে করোনা পরিস্থিতি ।। BD Corona 22/7/2021,0,1,0.8861931
hErdoz2Ca3A,ব্রেকিং নিউজ! ক্যাসিনো ইস্যুতে ফেঁসে গেল আরও ৩ নায়িকা। সেই সাথে গ্রেফতার ক্যাসিনো সম্রাট,0,1,0.9890514
E0LTzjmcsbk,"বাসর ও বিয়ে নিয়ে লাইভে এসে যা বললেন বুড়ো সামসুল। দুই স্ত্রীর নামই মরিয়ম, আরো তিনটা বিয়ে করবে",1,0,0.9926876
7RGAJcOz-uA,বিশ্ব রেকর্ড টাঙ্গাইলে ২০১ গম্বুজ মসজিদে যা যা আছে জানলে ওবাক হবেন|| মসজিদ উদ্বোধন করবেন কাবার ইমাম|,0,1,0.99126995
CnXIw9fdCxg,৫ দিন ধরে না খেয়ে প্রেমিকের বাড়িতে অনশন কলেজ ছাত্রীর। দাবি দিন রাত দেহ ভোগ করে বিয়েতে আপত্তি,1,0,0.9997073
iB6rdd6s0vQ,"এই মাত্র পাওয়া! যে কোনো সময় গ্রেফতার হচ্ছে। মামুনুল হক,বাবুনগরী ও চরমোনাই। সেই ৪ জনের রিমান্ড হচ্ছে?",1,0,0.9937868
sSgSnAtoiTg,ফ্রান্সে কাঁপুনি শুরু! এক হয়েছে পুরো মুসলিম বিশ্ব! কোন ভাবেই ছাড় দেওয়া হবেনা আর। Ruposhi Bangla Tv,0,1,0.9744391
PcTfIyPHNVg,বিদেশে চিকিৎসার জন্য লিখিত আবেদন ইতিবাচকভাবে দেখছে সরকার || Asaduzzaman Khan,1,0,0.9422929
oY3RW58uwto,যেভাবে ধ'রাশায়ী এস আই আকবর জানলে ওবাক হবেন ! ভারত সিমান্ত দিয়ে যেভাবে.. Si Akbar Hossain Bhuiyan,0,1,0.6258319
